dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1750561200,"{'temp': 295.25, 'feels_like': 295.74, 'temp_min': 294.9, 'temp_max': 295.25, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 942, 'humidity': 85, 'temp_kf': 0.35}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 31},"{'speed': 2.32, 'deg': 219, 'gust': 5.89}",10000,0.07,{'pod': 'n'},2025-06-22 03:00:00,nan
1750572000,"{'temp': 295.22, 'feels_like': 295.73, 'temp_min': 295.12, 'temp_max': 295.22, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 944, 'humidity': 86, 'temp_kf': 0.1}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 26},"{'speed': 2.18, 'deg': 213, 'gust': 6.13}",10000,0.0,{'pod': 'd'},2025-06-22 06:00:00,nan
1750582800,"{'temp': 300.94, 'feels_like': 302.4, 'temp_min': 300.94, 'temp_max': 300.94, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 945, 'humidity': 61, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 11},"{'speed': 3.42, 'deg': 209, 'gust': 3.69}",10000,0.0,{'pod': 'd'},2025-06-22 09:00:00,nan
1750593600,"{'temp': 306.62, 'feels_like': 307.69, 'temp_min': 306.62, 'temp_max': 306.62, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 944, 'humidity': 40, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",{'all': 8},"{'speed': 1.7, 'deg': 201, 'gust': 2.6}",10000,0.0,{'pod': 'd'},2025-06-22 12:00:00,nan
1750604400,"{'temp': 307.24, 'feels_like': 307.12, 'temp_min': 307.24, 'temp_max': 307.24, 'pressure': 1008, 'sea_level': 1008, 'grnd_level': 941, 'humidity': 33, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 56},"{'speed': 1.38, 'deg': 233, 'gust': 2.93}",10000,0.0,{'pod': 'd'},2025-06-22 15:00:00,nan
1750615200,"{'temp': 301.85, 'feels_like': 302.77, 'temp_min': 301.85, 'temp_max': 301.85, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 940, 'humidity': 53, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 61},"{'speed': 4.87, 'deg': 243, 'gust': 8.8}",10000,0.0,{'pod': 'n'},2025-06-22 18:00:00,nan
1750626000,"{'temp': 298.71, 'feels_like': 299.23, 'temp_min': 298.71, 'temp_max': 298.71, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 73, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 98},"{'speed': 3.81, 'deg': 207, 'gust': 9}",10000,0.43,{'pod': 'n'},2025-06-22 21:00:00,{'3h': 0.98}
1750636800,"{'temp': 296.92, 'feels_like': 297.44, 'temp_min': 296.92, 'temp_max': 296.92, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 80, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 95},"{'speed': 2.71, 'deg': 204, 'gust': 8.33}",10000,0.32,{'pod': 'n'},2025-06-23 00:00:00,nan
1750647600,"{'temp': 295.82, 'feels_like': 296.41, 'temp_min': 295.82, 'temp_max': 295.82, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 87, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 3.63, 'deg': 219, 'gust': 9.33}",10000,0.0,{'pod': 'n'},2025-06-23 03:00:00,nan
1750658400,"{'temp': 295.85, 'feels_like': 296.5, 'temp_min': 295.85, 'temp_max': 295.85, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 944, 'humidity': 89, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 99},"{'speed': 4.33, 'deg': 189, 'gust': 8.73}",10000,0.0,{'pod': 'd'},2025-06-23 06:00:00,nan
1750669200,"{'temp': 299.33, 'feels_like': 299.33, 'temp_min': 299.33, 'temp_max': 299.33, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 945, 'humidity': 69, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 89},"{'speed': 5.17, 'deg': 211, 'gust': 6.77}",10000,0.0,{'pod': 'd'},2025-06-23 09:00:00,nan
1750680000,"{'temp': 302.02, 'feels_like': 303.54, 'temp_min': 302.02, 'temp_max': 302.02, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 943, 'humidity': 57, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 93},"{'speed': 5.22, 'deg': 206, 'gust': 6.09}",10000,0.0,{'pod': 'd'},2025-06-23 12:00:00,nan
1750690800,"{'temp': 300.67, 'feels_like': 302.3, 'temp_min': 300.67, 'temp_max': 300.67, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 942, 'humidity': 64, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 98},"{'speed': 3.66, 'deg': 220, 'gust': 4.98}",10000,0.85,{'pod': 'd'},2025-06-23 15:00:00,{'3h': 0.57}
1750701600,"{'temp': 297.08, 'feels_like': 297.64, 'temp_min': 297.08, 'temp_max': 297.08, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 81, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 88},"{'speed': 1.26, 'deg': 131, 'gust': 2.51}",8748,1.0,{'pod': 'n'},2025-06-23 18:00:00,{'3h': 3.4}
1750712400,"{'temp': 296.12, 'feels_like': 296.72, 'temp_min': 296.12, 'temp_max': 296.12, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 86, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 0.85, 'deg': 279, 'gust': 2.87}",10000,0.69,{'pod': 'n'},2025-06-23 21:00:00,{'3h': 2.83}
1750723200,"{'temp': 295.41, 'feels_like': 296.02, 'temp_min': 295.41, 'temp_max': 295.41, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 89, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 1.52, 'deg': 212, 'gust': 4.32}",10000,0.45,{'pod': 'n'},2025-06-24 00:00:00,nan
1750734000,"{'temp': 294.92, 'feels_like': 295.53, 'temp_min': 294.92, 'temp_max': 294.92, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 941, 'humidity': 91, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 2.76, 'deg': 215, 'gust': 7.98}",10000,0.01,{'pod': 'n'},2025-06-24 03:00:00,nan
1750744800,"{'temp': 294.58, 'feels_like': 295.15, 'temp_min': 294.58, 'temp_max': 294.58, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 943, 'humidity': 91, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 85},"{'speed': 2.13, 'deg': 214, 'gust': 6.17}",10000,0.0,{'pod': 'd'},2025-06-24 06:00:00,nan
1750755600,"{'temp': 299.72, 'feels_like': 299.72, 'temp_min': 299.72, 'temp_max': 299.72, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 944, 'humidity': 68, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 61},"{'speed': 3.56, 'deg': 221, 'gust': 3.97}",10000,0.0,{'pod': 'd'},2025-06-24 09:00:00,nan
1750766400,"{'temp': 304.42, 'feels_like': 305.82, 'temp_min': 304.42, 'temp_max': 304.42, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 943, 'humidity': 48, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 45},"{'speed': 3.35, 'deg': 205, 'gust': 2.91}",10000,0.0,{'pod': 'd'},2025-06-24 12:00:00,nan
1750777200,"{'temp': 304.34, 'feels_like': 305.31, 'temp_min': 304.34, 'temp_max': 304.34, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 941, 'humidity': 46, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 39},"{'speed': 3.74, 'deg': 186, 'gust': 3.12}",10000,0.05,{'pod': 'd'},2025-06-24 15:00:00,nan
1750788000,"{'temp': 300.54, 'feels_like': 301.57, 'temp_min': 300.54, 'temp_max': 300.54, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 940, 'humidity': 58, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 39},"{'speed': 3.92, 'deg': 194, 'gust': 8.28}",10000,0.03,{'pod': 'n'},2025-06-24 18:00:00,nan
1750798800,"{'temp': 297.51, 'feels_like': 297.96, 'temp_min': 297.51, 'temp_max': 297.51, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 943, 'humidity': 75, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 94},"{'speed': 0.73, 'deg': 291, 'gust': 1.23}",10000,0.6,{'pod': 'n'},2025-06-24 21:00:00,{'3h': 2.17}
1750809600,"{'temp': 295.64, 'feels_like': 296.22, 'temp_min': 295.64, 'temp_max': 295.64, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 942, 'humidity': 87, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 88},"{'speed': 2.12, 'deg': 192, 'gust': 5.1}",10000,0.76,{'pod': 'n'},2025-06-25 00:00:00,{'3h': 1.15}
1750820400,"{'temp': 294.97, 'feels_like': 295.56, 'temp_min': 294.97, 'temp_max': 294.97, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 942, 'humidity': 90, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 69},"{'speed': 2.17, 'deg': 218, 'gust': 6.06}",10000,0.66,{'pod': 'n'},2025-06-25 03:00:00,{'3h': 0.27}
1750831200,"{'temp': 294.87, 'feels_like': 295.47, 'temp_min': 294.87, 'temp_max': 294.87, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 943, 'humidity': 91, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 80},"{'speed': 2.28, 'deg': 197, 'gust': 5.58}",10000,0.57,{'pod': 'd'},2025-06-25 06:00:00,{'3h': 0.13}
1750842000,"{'temp': 299.48, 'feels_like': 299.48, 'temp_min': 299.48, 'temp_max': 299.48, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 945, 'humidity': 70, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 90},"{'speed': 3.83, 'deg': 224, 'gust': 4.5}",10000,0.0,{'pod': 'd'},2025-06-25 09:00:00,nan
1750852800,"{'temp': 303.78, 'feels_like': 305.35, 'temp_min': 303.78, 'temp_max': 303.78, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 944, 'humidity': 51, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 94},"{'speed': 2.68, 'deg': 238, 'gust': 1.8}",10000,0.0,{'pod': 'd'},2025-06-25 12:00:00,nan
1750863600,"{'temp': 302.64, 'feels_like': 304.05, 'temp_min': 302.64, 'temp_max': 302.64, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 941, 'humidity': 54, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 68},"{'speed': 2.96, 'deg': 219, 'gust': 3.39}",10000,0.28,{'pod': 'd'},2025-06-25 15:00:00,{'3h': 0.27}
1750874400,"{'temp': 294.47, 'feels_like': 294.93, 'temp_min': 294.47, 'temp_max': 294.47, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 941, 'humidity': 87, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 56},"{'speed': 4.97, 'deg': 139, 'gust': 11.6}",10000,0.99,{'pod': 'n'},2025-06-25 18:00:00,{'3h': 2.71}
1750885200,"{'temp': 294.72, 'feels_like': 295.23, 'temp_min': 294.72, 'temp_max': 294.72, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 943, 'humidity': 88, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 0.8, 'deg': 244, 'gust': 2.41}",10000,0.94,{'pod': 'n'},2025-06-25 21:00:00,{'3h': 1.6}
1750896000,"{'temp': 294.62, 'feels_like': 295.04, 'temp_min': 294.62, 'temp_max': 294.62, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 942, 'humidity': 85, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 1.62, 'deg': 233, 'gust': 3.13}",10000,0.97,{'pod': 'n'},2025-06-26 00:00:00,{'3h': 0.17}
1750906800,"{'temp': 294.73, 'feels_like': 295.11, 'temp_min': 294.73, 'temp_max': 294.73, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 941, 'humidity': 83, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 1.51, 'deg': 254, 'gust': 2.61}",10000,0.0,{'pod': 'n'},2025-06-26 03:00:00,nan
1750917600,"{'temp': 294.89, 'feels_like': 295.34, 'temp_min': 294.89, 'temp_max': 294.89, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 943, 'humidity': 85, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 1.72, 'deg': 240, 'gust': 4.24}",10000,0.0,{'pod': 'd'},2025-06-26 06:00:00,nan
1750928400,"{'temp': 300.29, 'feels_like': 301.65, 'temp_min': 300.29, 'temp_max': 300.29, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 945, 'humidity': 63, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 91},"{'speed': 2.72, 'deg': 246, 'gust': 3.47}",10000,0.07,{'pod': 'd'},2025-06-26 09:00:00,nan
1750939200,"{'temp': 304.77, 'feels_like': 306.19, 'temp_min': 304.77, 'temp_max': 304.77, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 944, 'humidity': 47, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 96},"{'speed': 2, 'deg': 251, 'gust': 1.32}",10000,0.0,{'pod': 'd'},2025-06-26 12:00:00,nan
1750950000,"{'temp': 304.93, 'feels_like': 305.84, 'temp_min': 304.93, 'temp_max': 304.93, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 941, 'humidity': 44, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 1.05, 'deg': 265, 'gust': 1.69}",10000,0.0,{'pod': 'd'},2025-06-26 15:00:00,nan
1750960800,"{'temp': 295.02, 'feels_like': 295.53, 'temp_min': 295.02, 'temp_max': 295.02, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 940, 'humidity': 87, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 99},"{'speed': 3.24, 'deg': 360, 'gust': 8.68}",4271,0.64,{'pod': 'n'},2025-06-26 18:00:00,{'3h': 10.16}
1750971600,"{'temp': 294.97, 'feels_like': 295.58, 'temp_min': 294.97, 'temp_max': 294.97, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 942, 'humidity': 91, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 100},"{'speed': 1.98, 'deg': 182, 'gust': 5.03}",10000,1.0,{'pod': 'n'},2025-06-26 21:00:00,{'3h': 10.34}
1750982400,"{'temp': 294.98, 'feels_like': 295.62, 'temp_min': 294.98, 'temp_max': 294.98, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 943, 'humidity': 92, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 1.97, 'deg': 227, 'gust': 4.8}",10000,1.0,{'pod': 'n'},2025-06-27 00:00:00,{'3h': 0.44}
